INDEX,rank display,institution,location code,size,research,focus,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ger score,ger rank,ifr score,ifr rank,irn score,irn rank,isr score,isr rank,SUS SCORE,SUS RANK,Overall Score
884,851-900,University Duesseldorf,DE,XL,VH,FC,A,12.3,601+,8.5,601+,44.3,350,7.2,701+,3.8,701+,,,66.2,536,14.1,639,2.2,701+,
885,851-900,University at Albany SUNY,US,L,VH,CO,A,8.1,601+,4.5,601+,5.4,701+,33.9,391,4.2,701+,3.9,701+,66,540,7.2,701+,13.2,606=,
886,851-900,University of Dubai,AE,S,LO,SP,B,5.2,601+,4.2,601+,10.6,701+,11,701+,10.2,701+,100,1=,8.2,701+,72,204,1,701+,
887,851-900,University of Ghana,GH,XL,HI,FC,A,11.5,601+,7.6,601+,1.9,701+,5.3,701+,95.4,51,4.5,701+,72.8,443,1.7,701+,7.6,701+,
888,851-900,University of Hertfordshire,GB,L,HI,CO,A,4.4,601+,3.7,601+,5.9,701+,5.2,701+,10.1,701+,62,316,58.8,647,100,34,2.1,701+,
889,851-900,University of Lincoln,GB,L,HI,CO,A,5.9,601+,4.7,601+,7.9,701+,9.9,701+,4.8,701+,74,271,58.5,650,47.2,311,10.1,661=,
890,851-900,University of Mississippi,US,L,VH,CO,A,4.2,601+,2,601+,83,118,5.5,701+,3.6,701+,6.1,701+,58,655,2.9,701+,1.7,701+,
891,851-900,University of Palermo,IT,L,VH,CO,A,11.1,601+,2.3,601+,4.4,701+,32.2,408,4.5,701+,2.4,701+,81.6,293,1.9,701+,5.7,701+,
892,851-900,University of Santo Tomas,PH,XL,MD,FC,B,12.8,601+,39.9,237,12.5,701+,1.3,701+,14.1,690,34.9,459,18.1,701+,5.8,701+,2.4,701+,
893,851-900,University of South Africa,ZA,XL,VH,CO,A,10.6,601+,7.2,601+,1.1,701+,7.3,701+,92.8,65,,,91,156,7.3,701+,3.1,701+,
894,851-900,University of Wroclaw,PL,L,VH,CO,A,14.9,587,12.6,601+,32.1,492,3.9,701+,12,701+,5,701+,54.3,701+,8.4,701+,9.3,683=,
895,851-900,Université de Nantes,FR,XL,VH,CO,A,10.4,601+,3.4,601+,7.8,701+,21.4,540,2.8,701+,19.8,601,87.3,211,15.1,619,7.5,701+,
896,851-900,Université de Sherbrooke,CA,L,HI,FC,A,6.8,601+,4.2,601+,18.8,701+,16.9,604,23.4,483,54.7,341,43,701+,7.6,701+,8,701+,
897,851-900,Université du Québec,CA,XL,HI,FC,A,15.3,574,7.6,601+,1.8,701+,10.9,701+,21.6,530,32.9,479,62.6,593,11,699,9.9,667=,
898,851-900,"Vietnam National University, Hanoi",VN,XL,HI,CO,A,15.3,575,18.7,472,7.6,701+,2.4,701+,60.1,202,5.5,701+,61,620,1.2,701+,6.4,701+,
899,851-900,Vilnius Gediminas Technical University,LT,M,VH,SP,A,8.7,601+,13.8,589,37.7,424,7.8,701+,6.9,701+,14.7,669,41.4,701+,32.9,406,2,701+,
900,851-900,Virginia Commonwealth University,US,L,VH,FC,A,7.1,601+,8.5,601+,38.8,405,12.8,672,8.2,701+,9.7,701+,73.5,428,3.2,701+,8.5,696=,
901,851-900,Yildiz Technical University,TR,L,VH,CO,A,9.7,601+,24.7,386,4.2,701+,12.2,684,19.9,566,9.1,701+,38.9,701+,18.5,574,35.1,403=,
902,901-950,Australian Catholic University,AU,L,HI,CO,A,8.2,601+,8.9,601+,5.1,701+,12.1,688,1.7,701+,71,279,33.9,701+,41.7,340,2.7,701+,
903,901-950,Beijing Jiaotong University,CN,L,VH,CO,A,9.7,601+,5.4,601+,15.2,701+,31.8,414,9.6,701+,4.7,701+,29.1,701+,9.6,701+,1.2,701+,
904,901-950,Beijing University of Posts and Telecommunications,CN,L,VH,FO,A,3.2,601+,2.6,601+,10.2,701+,49.3,271,13.5,701+,4.7,701+,18.7,701+,1.7,701+,1.4,701+,
905,901-950,Catania University,IT,L,VH,FC,A,11.6,601+,3,601+,5.4,701+,23.4,517,5.7,701+,3.5,701+,71.3,465,4.5,701+,3.6,701+,
906,901-950,Future University in Egypt,EG,M,VH,FO,B,4.8,601+,34.7,272,34.9,453,2,701+,2.9,701+,11.7,701+,40,701+,21.7,519,1.1,701+,
907,901-950,Gazi Üniversitesi,TR,XL,HI,FC,A,18.6,483,15.3,551,6,701+,4.4,701+,18.2,597,1,701+,56,679,3.3,701+,20.1,530=,
908,901-950,Georgian Technical University,GE,L,MD,FO,A,7.1,601+,6.6,601+,1,701+,46.9,291,25.9,457,,,5.4,701+,,,1,701+,
909,901-950,German Jordanian University,JO,S,VH,FO,A,8.6,601+,15.1,554,21.4,645,5.6,701+,8.5,701+,65.3,301,17.8,701+,16.3,600,1.5,701+,
910,901-950,Imam Mohammad Ibn Saud Islamic University – IMSIU,SA,XL,MD,FC,A,14.8,589,7.6,601+,17.4,701+,1.5,701+,26.5,447,46.2,389,41.9,701+,4.2,701+,1,701+,
911,901-950,Kanazawa University,JP,M,VH,FC,A,10.5,601+,3.9,601+,55.1,275,12.2,686,1.8,701+,8.1,701+,31.9,701+,5.8,701+,1.6,701+,
912,901-950,Karaganda Buketov University,KZ,L,HI,FO,B,15.6,563,24.5,391,41.3,379,1.1,701+,7.8,701+,13.1,701+,7.5,701+,5.2,701+,1,701+,
913,901-950,Kyrgyz-Turkish Manas University,KG,S,HI,CO,A,15.1,583,10.9,601+,10.7,701+,1.7,701+,5.7,701+,90.5,189,7.1,701+,19.7,549,1,701+,
914,901-950,Louisiana State University,US,XL,VH,CO,A,9.5,601+,6.7,601+,7.8,701+,12.9,669,18.8,589,8.6,701+,52.3,701+,3.8,701+,52.8,301,
915,901-950,Makerere University,UG,XL,HI,FC,A,11,601+,4.2,601+,3.4,701+,4.5,701+,98.3,25,9.6,701+,64.8,560,7.5,701+,3.5,701+,
916,901-950,"Manipal Academy of Higher Education, Manipal, Karnataka, India",IN,L,VH,FO,B,10.9,601+,8.2,601+,42.9,365,4.4,701+,6.2,701+,1.8,701+,61.2,614,7.7,701+,16.5,567=,
917,901-950,Michigan Technological University,US,M,VH,CO,A,4.8,601+,3.7,601+,27.1,557,28.6,452,3.1,701+,11.4,701+,52.1,701+,11.1,697,1.9,701+,
918,901-950,National Research Saratov State University,RU,M,VH,CO,A,5,601+,2.7,601+,96.7,51,1.7,701+,1.8,701+,3,701+,19.1,701+,16.6,593,1,701+,
919,901-950,Nicolaus Copernicus University,PL,L,HI,FC,A,7.6,601+,2.6,601+,53.2,287,4.9,701+,3.1,701+,3.1,701+,81.3,302,5.3,701+,1.7,701+,
920,901-950,North South University,BD,L,HI,FO,B,13.3,601+,48.1,190,6.1,701+,2.7,701+,6.6,701+,7.9,701+,24.5,701+,1.1,701+,1.5,701+,
921,901-950,Osaka Metropolitan University,JP,L,VH,FC,,12.4,601+,11.6,601+,51.3,296,6.5,701+,5.9,701+,4.6,701+,29.3,701+,3.1,701+,1.1,701+,
922,901-950,Princess Sumaya University for Technology,JO,S,VH,FO,B,9.1,601+,25.3,375,11.9,701+,5.1,701+,5.1,701+,47.3,377,6,701+,50,294,1.2,701+,
923,901-950,Ritsumeikan Asia Pacific University,JP,M,LO,SP,C,6.1,601+,8.3,601+,2.6,701+,2.5,701+,1.9,701+,99.9,85,3.7,701+,99.4,50,1,701+,
924,901-950,Robert Gordon University,GB,M,HI,CO,A,3.7,601+,11.5,601+,5.6,701+,5.3,701+,5.6,701+,62.6,312,35.8,701+,74.1,191,5.8,701+,
925,901-950,South Ural State University (National Research University),RU,L,VH,CO,A,8.4,601+,4.7,601+,44.1,353,3.6,701+,4.2,701+,4.5,701+,84.1,261,13.4,655,1.6,701+,
926,901-950,Universidad Católica del Uruguay (UCU),UY,S,MD,CO,B,12.5,601+,12.8,601+,64.4,209,1.2,701+,15.1,658,9.5,701+,6.4,701+,2.8,701+,1,701+,
927,901-950,"Universidad Central ""Marta Abreu"" de Las Villas",CU,M,HI,CO,A,5.3,601+,1.4,601+,99.7,31,1.2,701+,21.8,523,1.1,701+,17.4,701+,1.2,701+,1,701+,
928,901-950,Universidad EAFIT,CO,L,HI,CO,B,12.9,601+,42.8,215,4.9,701+,2.3,701+,44.4,289,3.1,701+,11.3,701+,1.4,701+,4.8,701+,
929,901-950,Universidad Externado de Colombia,CO,L,MD,FO,B,13,601+,28.9,326,36.4,439,1.1,701+,26.4,449,10.5,701+,4.3,701+,1.5,701+,1,701+,
930,901-950,Universidad Nacional Mayor de San Marcos,PE,XL,MD,FC,A,20.6,426,22.9,411,7.9,701+,1.3,701+,38.6,329,,,33.2,701+,,,1.1,701+,
931,901-950,Universidad Nacional de Córdoba - UNC,AR,XL,HI,FC,A,26.4,337,14,583,6.2,701+,1.6,701+,10.1,701+,1.4,701+,44.4,701+,1.5,701+,1.7,701+,
932,901-950,Universidad Pontificia Bolivariana,CO,M,VH,FO,B,8.4,601+,8.8,601+,74.7,169,1.7,701+,22,521,3.8,701+,10,701+,2.3,701+,1.6,701+,
933,901-950,Universidade Católica Portuguesa - UCP,PT,M,VH,FO,B,13,601+,13.6,596,11.9,701+,6.1,701+,43.2,296,9.3,701+,27.8,701+,30.2,428,5.8,701+,
934,901-950,Universidade de Vigo,ES,L,VH,CO,A,8.9,601+,5.3,601+,9.4,701+,18,583,3.8,701+,2.1,701+,79.9,325,4.8,701+,39.8,369=,
