INDEX,rank display,institution,location code,size,research,focus,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ger score,ger rank,ifr score,ifr rank,irn score,irn rank,isr score,isr rank,SUS SCORE,SUS RANK,Overall Score
363,362,Xiamen University,CN,XL,VH,FC,A,23.6,372,16.2,526,19,701+,72.2,146,46,277,5.1,701+,62.6,594,3.1,701+,15.4,585=,31.7
364,362,York University,CA,XL,VH,CO,A,22.7,394,18.6,476,3.9,701+,22.6,524,76.3,136,53.1,353,65.5,548,78.7,176,86.5,118,31.7
365,365,Saint Petersburg State University,RU,L,VH,FC,A,36.3,238,30.5,309,59.4,247,4.6,701+,71.7,150,4.9,701+,83.9,263,38.9,360,3.2,701+,31.6
366,365,University of Illinois at Chicago (UIC),US,L,VH,FC,A,38.5,223,28.3,336,31.1,505,23.3,518,30.5,414,8,701+,83.8,265,19.3,560,34.8,406=,31.6
367,367,Westfälische Wilhelms-Universität Münster,DE,L,VH,FC,A,31.6,281,22.8,412,64.5,208,10,701+,35.8,354,30.5,490,82,290,4.5,701+,66.8,234,31.5
368,368,Mahidol University,TH,L,VH,FC,A,44.1,192,21.8,424,81.1,126,4.7,701+,9.8,701+,4.9,701+,57.2,659,4.2,701+,57.7,276=,31.4
369,368,University of Jordan,JO,XL,HI,FC,A,32.9,268,46.7,197,19.5,685,3.5,701+,82.1,110,21.2,585,67,521,43.5,331,39.5,371=,31.4
370,368,University of Tehran,IR,XL,VH,CO,A,20.6,429,26.8,357,3,701+,79.1,115,23.1,494,2,701+,86.2,231,2,701+,4.7,701+,31.4
371,371,George Washington University,US,L,VH,FC,B,25.2,351,28.8,331,27.3,555,27.5,471,74.5,142,24.6,542,79.5,333,34.4,394,27.3,468=,31.3
372,371,Lincoln University,NZ,S,VH,CO,A,8.2,601+,5,601+,31.8,496,52.1,249,40,320,100,61,20.2,701+,96.3,88,48.9,324=,31.3
373,371,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),ES,L,VH,CO,A,31.8,277,27.7,347,38.9,404,16.7,609,26.3,450,10.1,701+,85.3,242,19.8,544,82.5,143=,31.3
374,371,University of Turin,IT,XL,VH,FC,A,41.5,205,7.2,601+,3.2,701+,33.3,398,51.7,245,4.1,701+,87.5,204,5.3,701+,83.6,132=,31.3
375,375,University of Florence,IT,XL,VH,FC,A,34.6,255,8.4,601+,4.4,701+,46.6,295,30.3,415,7.3,701+,88.5,189,12.3,671,74.5,193=,31.2
376,375,University of Turku,FI,L,VH,FC,A,27.8,317,12.1,601+,52.3,291,29.3,442,39.9,321,33.2,477,86.3,229,4.4,701+,52.5,302=,31.2
377,377,Nankai University,CN,XL,VH,FC,A,18.5,492,9.8,601+,25.4,584,82.9,101,37.9,340,12.3,701+,51.1,701+,2.7,701+,11.5,632=,31.1
378,377,Pontificia Universidad Javeriana,CO,L,HI,FC,B,45.3,184,56.6,145,26.3,568,1.6,701+,78.3,127,3.4,701+,42.2,701+,2.5,701+,11.3,636=,31.1
379,377,University of Tsukuba,JP,L,VH,FC,A,36.6,237,22.5,416,54.7,278,17.3,594,9.8,701+,12.4,701+,66.9,525,19.3,561,63.4,249,31.1
380,380,Technische Universität Bergakademie Freiberg,DE,S,VH,FO,,4.9,601+,4.8,601+,3.5,701+,99.1,24,1.9,701+,41.4,414,41.6,701+,100,25,1.1,701+,30.8
381,380,University of Kent,GB,L,VH,CO,A,15.4,571,10,601+,14.6,701+,45.7,301,34,372,95.1,147,78.8,339,49.8,296,40.4,363=,30.8
382,382,University of Pisa,IT,L,VH,FC,A,40.4,212,15.1,556,8.6,701+,38.8,359,15,665,5.9,701+,88.3,193,4.2,701+,56.7,281,30.7
383,383,Anna University,IN,L,VH,SP,A,10,601+,12,601+,5.5,701+,100,2,5.9,701+,,,89.2,181,1.3,701+,24.7,491,30.6
384,384, Western Sydney University,AU,XL,VH,FC,A,19.9,445,14.2,579,4.8,701+,31,425,8.9,701+,100,53,87.4,208,45.5,323,89.2,101=,30.5
385,385,South China University of Technology,CN,XL,VH,CO,A,12.1,601+,6.6,601+,20,673,97.8,36,27.3,439,10.7,701+,51.3,701+,4.6,701+,7.3,701+,30.4
386,385,Universiti Brunei Darussalam (UBD),BN,S,VH,CO,A,20.2,438,8.8,601+,92.9,73,9.9,701+,56.5,217,100,62,35.4,701+,46.5,318,12.7,615=,30.4
387,387,Belarusian State University,BY,L,HI,CO,A,28.4,308,40.7,230,93,72,1.3,701+,38.2,338,3.8,701+,36.4,701+,59.3,250,1,701+,30.3
388,388,Universidade Nova de Lisboa,PT,L,VH,FC,A,28.7,305,21.8,425,15.9,701+,23.9,509,48.7,264,25.3,528,86.3,227,57,260,38.2,384=,30.2
389,389,University of Cyprus (UCY),CY,M,VH,CO,A,10,601+,4.7,601+,4.5,701+,75,135,42.1,308,93.8,162,73.4,429,20,541,5.8,701+,30.1
390,389,Università Vita-Salute San Raffaele,IT,S,VH,SP,B,3.3,601+,1.8,601+,94.4,66,88.5,80,2.1,701+,4.4,701+,39.2,701+,4.3,701+,1.2,701+,30.1
391,389,Virginia Polytechnic Institute and State University,US,XL,VH,FC,A,26.4,336,26.2,364,18.9,701+,28.4,459,24,471,71.8,277,82.6,282,16.5,594,34.8,406=,30.1
392,392,National Taiwan University of Science and Technology (Taiwan Tech),TW,M,VH,FO,A,27.6,320,37.9,248,43.5,358,29.4,439,19.9,563,19.7,603,29.8,701+,25.5,471,38.8,379=,30
393,393,National and Kapodistrian University of Athens,GR,XL,VH,FC,A,26.7,329,33.2,283,2.1,701+,31,426,85.8,96,9.9,701+,86.6,222,15.9,609,29.3,451=,29.9
394,393,"University of California, Santa Cruz",US,L,VH,CO,A,17.7,512,5.9,601+,7.4,701+,65.3,170,6.1,701+,53.4,348,64.5,566,7,701+,83.6,132=,29.9
395,393,"University of Rome ""Tor Vergata""",IT,L,VH,CO,A,31.3,285,15.4,547,9,701+,47.2,287,6.3,701+,9.6,701+,69.1,495,30.8,422,57.7,276=,29.9
396,396,Northeastern University,US,XL,VH,CO,B,19.2,470,11.8,601+,15.4,701+,24.6,501,44,291,51.6,360,67.3,516,96.4,85,72.3,205=,29.7
397,396,Ruhr-Universität Bochum,DE,XL,VH,FC,A,20.3,437,8.8,601+,2.5,701+,53.4,240,16.2,632,48.8,371,87.3,209,39.3,358,53.5,295=,29.7
398,396,Sejong University,KR,L,VH,CO,B,10.8,601+,16.1,528,11.9,701+,76.9,127,1.8,701+,23.8,551,64.1,570,31.2,418,45.9,336=,29.7
399,396,University of Southern Queensland,AU,M,VH,CO,A,8.8,601+,5.7,601+,4.8,701+,73.1,143,8.6,701+,84.1,223,81,310,23,503,43,353,29.7
400,396,Université de Liège,BE,L,VH,FC,A,17,531,11.8,601+,9.6,701+,38,365,23.6,478,50.3,364,94.6,86,53,277,81.2,148=,29.7
401,401,Kazan (Volga region) Federal University,RU,L,VH,FC,A,23.6,373,11.4,601+,95.6,58,2.4,701+,15.4,647,10.2,701+,88.3,191,95.7,93,22.2,513=,29.6
402,401,Koç University,TR,M,VH,FC,B,24.3,359,54.6,155,19.1,697,32.4,407,6.8,701+,24.7,540,51.6,701+,13,659,34.8,406=,29.6
403,403,Amirkabir University of Technology,IR,M,VH,FO,A,5.2,601+,20.5,445,4.6,701+,100,7,5.8,701+,24.6,543,70.2,483,2.8,701+,1.6,701+,29.5
404,403,University of Canberra,AU,M,VH,CO,A,14.3,601+,7.7,601+,2.4,701+,51.2,255,5.6,701+,79.6,243,63.1,583,69.4,213,70.9,217=,29.5
405,405,Institut National des Sciences Appliquées de Lyon (INSA),FR,M,VH,FO,A,7.4,601+,28.7,334,33.7,469,60.6,201,14.4,680,29.2,500,59.5,638,58.3,254,2.4,701+,29.3
406,405,Satbayev University,KZ,M,VH,FO,A,27.8,318,43.4,211,88.1,94,1.2,701+,23.6,477,66.7,296,15,701+,16.9,588,3.8,701+,29.3
407,405,USI - Università della Svizzera italiana,CH,S,VH,FO,A,6.1,601+,4.6,601+,73.5,176,40.7,343,2.1,701+,100,34,39.3,701+,100,13,1.1,701+,29.3
408,408,"Birkbeck, University of London",GB,M,VH,CO,A,10,601+,3.6,601+,15.6,701+,57.1,218,8.8,701+,97.7,123,55.5,686,99.5,46,7.7,701+,29.1
409,408,Masaryk University,CZ,XL,VH,CO,A,23.5,376,31.7,298,9.5,701+,13.8,656,36,352,27.6,513,80.2,318,66.7,223,79.1,161=,29.1
410,410,HSE University,RU,XL,VH,CO,A,24,366,38.4,246,84.8,105,1.8,701+,13,701+,6.6,701+,83.6,271,13.5,652,44.6,343=,29
411,410,The American University in Cairo,EG,M,VH,CO,B,32.1,274,31.1,301,35.5,444,5.2,701+,75.6,138,97,130,29.4,701+,3.8,701+,14.6,597=,29
412,412,Auckland University of Technology (AUT),NZ,L,VH,CO,A,19.3,464,11.2,601+,10.6,701+,21.7,536,12.4,701+,100,64,52.6,701+,99.8,42,72.6,202=,28.9
413,413,Graz University of Technology,AT,M,VH,FO,A,14.7,590,15.7,545,98.9,40,11.1,701+,11.9,701+,81.8,232,59.9,634,59.7,247,2.8,701+,28.8
414,413,Yeshiva University,US,S,HI,FC,B,3.1,601+,2.8,601+,65.3,202,91.6,71,3,701+,31.4,488,6.6,701+,13.5,651,15.8,583,28.8
415,415,Concordia University,CA,XL,VH,CO,A,15.8,559,11.4,601+,3.3,701+,17.5,590,43.6,294,87.4,208,73.8,423,92.3,104,89.8,96=,28.7
416,416,Oxford Brookes University,GB,L,HI,CO,A,30.7,289,37.6,250,13.7,701+,7,701+,20.5,554,67.5,291,68.4,508,67.4,220,13.2,606=,28.6
417,416,Technion - Israel Institute of Technology,IL,L,VH,FC,A,23.9,369,24.8,385,52,293,20.1,555,35.3,359,74.2,266,59.1,641,4.3,701+,15,592=,28.6
418,418,Boğaziçi University,TR,L,HI,CO,A,24.9,353,65.3,118,4.1,701+,10.7,701+,84.9,102,10.7,701+,46.8,701+,2.6,701+,46.2,334=,28.5
419,418, University of Dundee,GB,L,HI,FC,A,18.4,494,13.7,590,30.8,512,14,654,7.4,701+,91.1,185,75.2,405,89.4,126,55.4,285=,28.5
420,420,Czech Technical University in Prague,CZ,L,VH,SP,A,22,404,42.4,217,80.6,129,3.6,701+,15.6,642,19.9,598,59.4,639,50.2,293,5.8,701+,28.4
421,421,Dublin City University,IE,L,HI,FC,A,20.1,441,26,366,25.8,577,10.7,701+,35.3,358,75,265,75.4,401,22.6,508,82.5,143=,28.3
422,421,University of Limerick,IE,L,HI,FC,A,18.3,497,25.5,371,15.7,701+,23,520,8,701+,87.1,209,72.5,447,30.8,421,76.4,176=,28.3
423,423,Aston University,GB,L,VH,CO,A,12.5,601+,18.5,478,9,701+,34.4,388,19.6,569,94.2,160,79.2,336,53.8,274,46.9,330=,28.1
424,423,Université Laval,CA,L,VH,FC,A,19.2,468,8.1,601+,26,572,23.8,512,36.4,349,55.8,336,80.2,317,41.6,344,78.4,166=,28.1
425,425,National Taipei University of Technology,TW,M,VH,FO,A,13.9,601+,54.7,154,24.3,602,41.6,334,22.5,509,19.8,602,21.3,701+,20.6,531,31.3,435=,28
426,426,IPB University (a.k.a. Bogor Agricultural University),ID,L,VH,FO,A,23.5,375,46.9,196,71.4,186,1.8,701+,33.9,373,53.2,351,19.1,701+,3.6,701+,35.1,403=,27.9
427,426,Leibniz University Hannover,DE,L,VH,CO,A,21.2,415,32,293,17.9,701+,17.4,591,14.5,676,46.3,388,78.5,347,26.9,455,82.1,146,27.9
428,428,Julius-Maximilians-Universität Würzburg,DE,L,VH,FC,A,15.8,560,7,601+,5.5,701+,74.4,136,8.7,701+,45,396,78.5,348,9.5,701+,8.8,692=,27.8
429,428,Southeast University,CN,XL,VH,FC,A,13.5,601+,6.6,601+,20.8,658,82,102,5,701+,14.4,675,69.2,494,3.4,701+,11.6,629=,27.8
430,430,University of Science and Technology Beijing,CN,L,VH,CO,A,11.8,601+,4.2,601+,10.2,701+,99.4,21,4.9,701+,3.1,701+,56.8,668,2.8,701+,3.6,701+,27.7
431,431,Central South University,CN,XL,VH,FO,A,8.6,601+,4.1,601+,5.5,701+,99.7,15,14.1,689,6.4,701+,67.5,515,4,701+,3.9,701+,27.6
432,431,Tomsk State University,RU,M,VH,CO,A,22,403,13.5,601+,99,36,4.2,701+,4.4,701+,21.6,574,64.1,571,91.6,113,1.4,701+,27.6
433,431,University of Granada,ES,XL,VH,FC,A,44.4,191,14.1,581,5.7,701+,26.2,482,4.9,701+,3.1,701+,96.3,52,14.8,628,26.3,478=,27.6
434,434,University of Sharjah,AE,L,VH,CO,B,18.1,501,17.3,496,6,701+,22,532,11.2,701+,100,8,84.8,250,100,31,11.8,623=,27.5
435,435,IE University,ES,M,HI,FO,C,8.1,601+,49.3,182,46.5,328,2.2,701+,65.6,176,95.2,145,3.5,701+,100,4,4.6,701+,27.4
436,436,Iran University of Science and Technology,IR,L,VH,FO,A,7.8,601+,14,584,2.7,701+,98.7,31,5.3,701+,12,701+,53.4,701+,1.5,701+,1.6,701+,27.2
437,436,Murdoch University,AU,M,VH,CO,A,8,601+,4.5,601+,5.2,701+,57.3,216,14.8,668,85.6,216,74.9,410,73.9,194,11.3,636=,27.2
438,436,Universitat Politècnica de València,ES,L,VH,CO,A,26.5,335,16.3,521,36.1,440,19.7,559,11.7,701+,5.5,701+,84.9,248,25,479,76.1,178=,27.2
439,439,Vilnius University,LT,L,HI,FC,A,19.1,472,23.5,405,74.7,168,3.3,701+,83.7,105,12.4,701+,75.5,398,13.6,649,27.1,471=,27.1
440,440,Singapore University of Technology and Design,SG,S,VH,SP,,7.4,601+,5.3,601+,99,37,66,168,4.6,701+,,,31.2,701+,,,1.1,701+,27
441,440,Università degli Studi di Pavia,IT,L,VH,FC,A,21.7,406,7.4,601+,8.3,701+,64.6,173,13.5,701+,6.2,701+,82.7,281,12.6,666,15.4,585=,27
442,442,Colorado State University,US,L,VH,CO,A,18.3,498,20.4,447,60.9,236,17.1,599,22.2,517,18.5,621,78.4,351,3.7,701+,70.9,217=,26.8
443,442,Novosibirsk State University,RU,M,VH,CO,A,24.7,354,18.4,480,91,81,9.5,701+,5.8,701+,6.3,701+,56.5,671,57,259,5.3,701+,26.8
444,442,Università Cattolica del Sacro Cuore,IT,L,VH,FO,B,24.2,360,35.5,267,27.6,552,19.2,567,32.3,393,15.5,661,60.5,628,7.1,701+,54.8,289=,26.8
445,445,James Cook University,AU,M,VH,FC,A,14.4,601+,6.5,601+,17.5,701+,46.9,292,6.7,701+,36.7,434,76,389,16,607,88.9,103=,26.7
446,445,Justus-Liebig-University Giessen,DE,L,VH,FC,A,12.7,601+,5.9,601+,1.9,701+,79.3,113,10.5,701+,14.2,679,83.9,264,18.8,569,11,644=,26.7
447,445,Universitat de Valencia,ES,XL,VH,FC,A,35.6,246,11,601+,12,701+,19.9,557,8.4,701+,2.1,701+,89.3,180,24.3,484,79.3,159=,26.7
448,448,Dalian University of Technology,CN,XL,VH,CO,A,9.6,601+,3.8,601+,18.1,701+,88.1,82,14.4,678,11.5,701+,55.9,680,2.9,701+,8,701+,26.6
449,448,Hunan University,CN,XL,VH,CO,A,7.9,601+,10.3,601+,15.2,701+,90.6,74,23.1,495,4.6,701+,46.5,701+,1.8,701+,2.7,701+,26.6
450,448,Université de Montpellier,FR,XL,VH,FO,A,18.6,486,3.4,601+,8.5,701+,57.2,217,13.1,701+,22.8,562,99.5,6,29.9,431,17.3,561,26.6
451,451,University of Electronic Science and Technology of China,CN,XL,VH,FO,A,5.3,601+,5,601+,8.2,701+,99.1,25,7.2,701+,3.2,701+,73.3,433,2.5,701+,2.3,701+,26.5
452,452,Beihang University (former BUAA),CN,L,VH,CO,A,12.1,601+,7.8,601+,41.5,375,72.1,147,12.8,701+,7,701+,51.2,701+,4.5,701+,4.3,701+,26.4
453,452,National Taiwan Normal University,TW,M,VH,CO,A,34.7,254,20.5,444,62.9,219,5.4,701+,17.3,612,14.5,673,23.3,701+,25.2,478,49.8,319=,26.4
454,452,University of Kansas,US,L,VH,FC,A,14.4,601+,12.6,601+,86.7,99,9.2,701+,28.2,435,60.3,322,84.6,255,7.2,701+,32.4,427,26.4
455,452,University of Stirling,GB,M,VH,CO,A,11.2,601+,9.4,601+,9.3,701+,30.3,436,15.8,638,76.9,253,61.6,606,81.3,168,76.1,178=,26.4
456,456,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),RU,M,VH,FO,A,16.6,541,23.6,404,94.6,64,12,692,17.6,605,31.1,489,41.7,701+,45.5,324,1,701+,26.3
457,456,Umea University,SE,L,VH,FC,A,19.9,447,11.6,601+,71.8,182,15.2,631,9,701+,51.1,362,78,360,21.8,518,26.3,478=,26.3
458,456,University of Guelph,CA,L,VH,CO,A,12.8,601+,12.8,601+,5,701+,50.1,261,11.2,701+,46.4,385,65.2,552,14.3,636,82.9,139=,26.3
459,456,Université de Strasbourg,FR,XL,VH,FC,A,39.1,219,10.3,601+,5.1,701+,20.7,549,20.4,558,34.2,469,90.7,161,35.9,384,5.4,701+,26.3
460,460,"Stony Brook University, State University of New York",US,L,VH,FC,A,18,504,7.3,601+,32.2,489,23.6,515,21.2,541,34.7,462,76,390,43.5,332,79.1,161=,26.2
461,461,Universidad de Santiago de Chile (USACH),CL,L,HI,FC,A,43.4,195,55,152,7.2,701+,4.2,701+,12.7,701+,6.3,701+,51.1,701+,2.2,701+,11.2,642=,26.1
462,462,Tampere University,FI,L,VH,FC,A,21.7,407,15.4,548,20.4,662,33.1,400,30.8,409,44.5,398,84.8,251,5.9,701+,23,508,26
463,462,Universidad de Sevilla,ES,XL,VH,FC,A,39.1,221,12.6,601+,18.4,701+,8.2,701+,16,634,3.5,701+,91.4,152,18.9,567,67.4,231,26
464,464,Macau University of Science and Technology,MO,L,VH,CO,B,4.4,601+,3.4,601+,3.9,701+,56.4,222,29.5,423,100,23,26.2,701+,100,1,11.3,636=,25.9
465,465,Kobe University,JP,L,VH,FC,A,28.4,309,33.2,281,43.9,356,11.4,701+,15,662,7,701+,55,698,5.6,701+,49.8,319=,25.8
466,466,Universitat Ramon Llull,ES,L,HI,CO,B,11,601+,52,167,8.7,701+,8.1,701+,71.7,149,93.6,164,32.6,701+,43.1,336,20.1,530=,25.7
467,466,University at Buffalo SUNY,US,L,VH,FC,A,18,503,10.7,601+,8.8,701+,33.6,393,33.3,383,20.1,596,68.6,504,36.9,380,82.5,143=,25.7
468,466,Universität Konstanz,DE,M,VH,CO,A,18.3,495,10.5,601+,37.8,421,18.3,578,13.1,701+,85.9,215,66.1,537,14.5,634,63.1,250=,25.7
469,466,Washington State University,US,L,VH,FC,A,23.3,379,20,452,15.5,701+,33.5,396,8.6,701+,47.1,379,77.3,373,5,701+,29.6,447=,25.7
470,470,Iowa State University,US,L,VH,CO,A,20.7,425,12,601+,9.1,701+,47.9,280,32.9,388,7.5,701+,77.3,374,12.5,667,31.3,435=,25.6
471,471,Ben-Gurion University of The Negev,IL,L,VH,FC,A,14.4,601+,14.5,569,11.1,701+,51.7,253,16.3,630,64,304,64.9,558,14.3,635,11.8,623=,25.5
472,472,"Essex, University of",GB,L,VH,CO,A,15.5,568,5.2,601+,12.7,701+,22.6,523,14,693,99.8,93,75.1,408,98.6,62,13.2,606=,25.3
473,472,Johannes Kepler University Linz,AT,M,VH,FO,A,12.8,601+,12.3,601+,75.9,162,14.3,649,12.2,701+,83.5,226,59.7,636,33.5,402,13.2,606=,25.3
474,474,Bangor University,GB,M,VH,FC,A,8.6,601+,5.8,601+,12.1,701+,43,321,8.1,701+,40.7,416,75,409,52.3,280,82.9,139=,25.2
475,474,Hiroshima University,JP,L,VH,FC,A,24.1,363,12.3,601+,75.9,161,8.9,701+,6.9,701+,13.2,701+,70.1,485,12.9,660,50.8,315=,25.2
476,474,Universität Potsdam,DE,L,VH,FO,A,15.8,557,3.4,601+,18.6,701+,36.5,375,1.3,701+,51.8,358,92.9,121,21.2,526,67.1,232=,25.2
477,477,Ajman University,AE,S,VH,FO,B,17.3,521,42.2,221,9.6,701+,3.2,701+,9.8,701+,100,6,48.4,701+,100,3,1.4,701+,25.1
478,477,Bilkent University,TR,M,VH,CO,B,24,365,52.1,164,13.3,701+,15.2,632,19.3,573,61.4,319,38.3,701+,3.7,701+,10.6,653=,25.1
479,477,Indian Institute of Technology Indore (IIT Indore),IN,S,VH,FO,A,6.1,601+,5,601+,27.1,558,95.6,47,2.2,701+,2.1,701+,23.6,701+,1.1,701+,4.2,701+,25.1
480,477,Royal Holloway University of London,GB,M,VH,CO,A,14.9,585,5.7,601+,13,701+,27.2,474,7.2,701+,94.1,161,73.2,434,86.9,141,19.7,537=,25.1
481,481,Aix-Marseille University,FR,XL,VH,FC,A,36.9,235,6.5,601+,7.9,701+,21.7,534,15.2,656,17.5,633,99.1,13,18.2,578,25.5,488=,25
482,481,Pontificia Universidad Católica Argentina,AR,L,MD,FC,B,19.9,446,29.4,320,99.9,19,1.1,701+,85.7,97,1.9,701+,12.5,701+,6.7,701+,1,701+,25
483,481,"The University of Tennessee, Knoxville",US,XL,VH,FC,A,10.1,601+,8.2,601+,9.5,701+,76.3,131,11,701+,4.9,701+,77.3,371,2.4,701+,15,592=,25
484,484,China Agricultural University,CN,L,VH,FC,A,8.4,601+,2.6,601+,18.9,701+,88.8,79,4.5,701+,3.2,701+,52.2,701+,1.5,701+,5.8,701+,24.9
485,485,American University of Ras Al Khaimah ( AURAK ),AE,S,VH,FO,A,4.6,601+,3.3,601+,35.5,446,46.8,293,4.1,701+,100,10,15.4,701+,100,15,1.1,701+,24.8
486,485,National Sun Yat-sen University,TW,M,VH,CO,A,26.5,334,24.9,383,32,493,22.1,529,11.4,701+,22.7,563,35.6,701+,10.8,701+,48.9,324=,24.8
487,487,Universität Mannheim,DE,M,VH,FO,A,15.3,572,53.9,157,3,701+,31,427,34.9,363,42.4,406,27.9,701+,22.7,506,1.5,701+,24.7
488,488,University of Hawaiʻi at Mānoa,US,L,VH,FC,A,15.2,576,6.6,601+,29.7,525,41.7,332,7.9,701+,41.7,412,82.9,278,12,679,30.1,443=,24.6
489,489,Chongqing University,CN,XL,VH,SP,A,7.6,601+,4.6,601+,12.1,701+,81.4,105,13.6,701+,21.3,582,59.6,637,2.1,701+,4.1,701+,24.5
490,489,Chung-Ang University (CAU),KR,L,VH,FC,B,16,555,31.9,296,67.8,195,9.3,701+,13.5,701+,14.2,680,29.9,701+,37.8,371,49.5,322=,24.5
491,489,Isfahan University of Technology,IR,M,VH,FO,,4.9,601+,15.7,541,5.1,701+,92.2,68,5.6,701+,2.3,701+,43.5,701+,1.4,701+,1.1,701+,24.5
492,489,Shanghai University,CN,XL,VH,FO,A,20.3,435,13.1,601+,50.8,303,30.5,429,8.9,701+,40.9,415,58.7,649,5.3,701+,10.5,655=,24.5
493,489,UNESP,BR,XL,VH,FC,A,41.1,207,25.8,368,13,701+,16.2,619,1.5,701+,5.9,701+,70.9,469,2.7,701+,14.5,600=,24.5
494,489,University of Jyväskylä,FI,M,VH,FO,A,16.2,548,11.4,601+,87.7,96,12.1,687,10.4,701+,44,400,81.2,303,2.6,701+,16.3,570=,24.5
495,495,Central Queensland University (CQUniversity Australia),AU,S,VH,FO,A,9,601+,6.7,601+,29.4,528,20.9,548,3.1,701+,97.1,128,44,701+,97.8,72,49.8,319=,24.4
496,495,Duy Tan University,VN,L,VH,CO,C,11.9,601+,25.3,376,3.9,701+,49,273,4.4,701+,37.7,428,83.5,273,1.4,701+,29,453=,24.4
497,497,Jilin University,CN,XL,VH,FC,A,12.1,601+,46.1,200,37.4,428,27.4,472,23.2,492,11.6,701+,62.2,601,2.1,701+,9.1,686=,24.2
498,497,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),RU,M,VH,FO,A,9.2,601+,11.8,601+,98.9,39,8.1,701+,14.6,675,45.8,391,32.9,701+,89.5,125,1.1,701+,24.2
499,497,Universidad de Costa Rica,CR,XL,HI,CO,A,35.4,248,24.3,397,32.3,487,1.6,701+,81.6,115,2.4,701+,45.5,701+,2,701+,16.9,563=,24.2
500,497,"University of California, Riverside",US,L,VH,FC,A,16.3,546,9.4,601+,6.6,701+,50.9,256,3.7,701+,47.9,375,77.3,372,10.4,701+,21.3,521=,24.2
501,501,Abu Dhabi University,AE,S,VH,FO,C,15.9,556,24.6,390,14.9,701+,16.7,610,8.3,701+,100,5,27.3,701+,99.8,38,1.5,701+,24.1
502,501,Colorado School of Mines,US,M,VH,FO,A,6.8,601+,12.5,601+,15.8,701+,72,148,17.7,604,29.7,496,30.9,701+,7.4,701+,18,555=,24.1
503,501,East China Normal University,CN,L,VH,CO,A,13.3,601+,4.7,601+,16.2,701+,63.5,180,9,701+,24.1,546,72,450,9,701+,6.8,701+,24.1
504,501,Johannes Gutenberg Universität Mainz,DE,L,VH,FO,A,22.3,400,11.4,601+,57.8,254,11.5,701+,11.4,701+,42,411,87,215,15.5,614,16.3,570=,24.1
505,501,University of Huddersfield,GB,L,VH,CO,A,12.7,601+,12.4,601+,7.5,701+,19.4,564,1.3,701+,63.7,308,73,441,85.6,148,72.3,205=,24.1
506,506,University of Delaware,US,L,VH,CO,A,9.4,601+,7.9,601+,6.6,701+,53.9,237,16.9,617,30,495,66.5,530,12.6,665,65.3,239=,24
507,506,University of Trento,IT,L,VH,CO,A,24.9,352,10.5,601+,22,639,32.7,402,4.4,701+,29.6,497,85.8,234,6.1,701+,19,547,24
508,508,Aristotle University of Thessaloniki,GR,XL,VH,FC,A,28.2,313,26.1,365,4.3,701+,15.8,623,38.3,335,1.7,701+,90.5,164,4.1,701+,44.3,348=,23.9
509,508,SOAS University of London,GB,M,VH,SP,A,17.1,528,9.4,601+,14.8,701+,15.1,635,22.4,513,100,60,16.9,701+,98.7,61,39.1,378,23.9
510,508,Shenzhen University,CN,XL,VH,CO,A,7.7,601+,3.2,601+,42.1,369,64.5,175,15.8,637,11,701+,65.1,555,1.4,701+,7.4,701+,23.9
511,511,Ewha Womans University,KR,L,HI,FC,B,22.1,401,21.2,434,76.3,157,6.9,701+,23,496,7,701+,31.3,701+,24.4,483,34.2,413=,23.8
512,511,Zhengzhou University,CN,XL,VH,FC,A,5.4,601+,22,422,4.9,701+,80.3,108,5.7,701+,,,56.3,674,2.4,701+,2.4,701+,23.8
513,513,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),SA,L,HI,FC,A,10.5,601+,11.4,601+,89.5,87,2.6,701+,2.4,701+,98.2,118,68.3,509,19.7,548,18.4,549=,23.7
514,513,Prince Mohammad Bin Fahd university,SA,S,HI,SP,B,20.3,436,23,409,23.1,621,27.8,468,2.8,701+,100,11,23.3,701+,18.8,570,1.2,701+,23.7
515,513,University of Milano-Bicocca,IT,L,VH,FO,A,20.4,432,10.9,601+,3.3,701+,54.1,236,11.5,701+,3.5,701+,81.1,307,4.3,701+,14.8,596,23.7
516,516,Ateneo de Manila University,PH,L,VH,SP,B,21.4,410,64.5,122,24.4,601,1.8,701+,70.6,156,2.9,701+,23,701+,2.5,701+,15.6,584,23.6
517,516,Edith Cowan University,AU,L,VH,CO,A,8.5,601+,6.8,601+,4.8,701+,49.8,265,4.7,701+,78.5,245,64.5,565,57.7,256,5.8,701+,23.6
518,516,INTI International University,MY,S,HI,CO,C,7.7,601+,19.9,453,89.1,90,1.7,701+,4.4,701+,95.4,143,7,701+,92.9,102,1.1,701+,23.6
519,516,Kyungpook National University,KR,L,VH,FC,A,11.1,601+,16.7,514,66.9,196,20.5,551,10.6,701+,11.1,701+,52,701+,25.7,470,60.6,266=,23.6
520,516,Sabanci University,TR,S,VH,CO,B,19.5,457,44.6,206,38.2,416,19.4,565,7.2,701+,32,483,25.9,701+,14.2,637,7.9,701+,23.6
